;"Index Numbers ;  Food and non-alcoholic beverages ;  Australia ;";"Index Numbers ;  Clothing and footwear ;  Australia ;";"Index Numbers ;  Rents ;  Australia ;";"Index Numbers ;  Electricity ;  Australia ;";"Index Numbers ;  Health ;  Australia ;";"Index Numbers ;  Tertiary education ;  Australia ;"
Unit;Index Numbers;Index Numbers;Index Numbers;Index Numbers;Index Numbers;Index Numbers
Series Type;Original;Original;Original;Original;Original;Original
Data Type;INDEX;INDEX;INDEX;INDEX;INDEX;INDEX
Frequency;Quarter;Quarter;Quarter;Quarter;Quarter;Quarter
Collection Month;3;3;3;3;3;3
Series Start;Sep-1972;Sep-1972;Sep-1972;Sep-1980;Sep-1989;Jun-2000
Series End;Jun-2023;Jun-2023;Jun-2023;Jun-2023;Jun-2023;Jun-2023
No. Obs;204;204;204;172;136;93
Series ID;A2325891R;A2325936J;A2326431V;A2328141J;A2331111C;A2331561L
Mar-2003;75,7;102,9;67,7;53,5;65,7;68,5
Jun-2003;75,7;104,1;68,1;52,7;67,8;68,5
Sep-2003;75,5;103,8;68,5;53,4;67,8;68,5
Dec-2003;76,8;103,5;69,0;53,5;67,9;68,5
Mar-2004;78,2;102,1;69,4;54,2;70,1;74,3
Jun-2004;77,5;103,2;69,9;53,4;72,2;74,3
Sep-2004;77,0;102,9;70,3;54,6;71,7;74,3
Dec-2004;78,1;101,5;70,6;54,9;71,2;74,3
Mar-2005;78,8;100,1;70,9;55,8;74,1;78,2
Jun-2005;78,9;101,0;71,4;55,1;75,8;78,2
Sep-2005;79,5;101,1;71,8;56,0;75,0;78,2
Dec-2005;81,0;101,0;72,3;56,4;74,2;78,2
Mar-2006;82,1;98,4;72,9;57,3;77,5;81,9
Jun-2006;85,5;99,3;73,5;56,6;79,3;81,9
Sep-2006;87,5;99,4;74,3;57,8;78,7;80,0
Dec-2006;87,9;98,9;75,0;58,1;78,1;80,0
Mar-2007;85,8;98,6;76,1;59,2;80,9;82,1
Jun-2007;87,3;100,0;77,3;58,5;82,6;82,1
Sep-2007;89,0;100,3;78,6;61,0;82,1;82,1
Dec-2007;88,9;100,5;79,9;61,5;81,3;82,1
Mar-2008;90,8;98,1;81,4;65,1;84,5;85,2
Jun-2008;90,7;101,0;83,3;64,3;86,6;85,2
Sep-2008;92,0;100,3;85,0;67,2;86,4;85,2
Dec-2008;93,9;100,7;86,6;67,7;85,3;85,2
Mar-2009;96,0;100,2;88,0;70,1;89,0;88,0
Jun-2009;95,1;102,3;89,3;69,8;91,0;87,9
Sep-2009;94,3;102,6;90,3;77,7;90,1;87,9
Dec-2009;95,7;102,8;91,1;78,3;89,3;87,9
Mar-2010;96,7;98,4;92,1;82,9;93,5;93,1
Jun-2010;96,4;98,4;93,1;82,4;95,6;93,1
Sep-2010;95,9;99,7;94,1;87,4;94,9;93,1
Dec-2010;98,0;97,9;95,0;88,2;93,7;93,1
Mar-2011;100,9;97,2;96,2;92,7;97,4;97,7
Jun-2011;102,3;99,5;97,3;91,3;99,4;97,7
Sep-2011;102,0;101,0;98,5;98,3;98,4;97,7
Dec-2011;100,5;100,4;99,5;98,9;97,1;97,7
Mar-2012;98,4;98,6;100,5;101,8;101,5;102,3
Jun-2012;99,0;100,0;101,6;101,0;103,0;102,3
Sep-2012;100,9;100,2;102,4;116,5;105,5;102,3
Dec-2012;100,8;101,0;103,2;116,4;104,6;102,3
Mar-2013;100,0;97,1;104,0;119,2;107,7;109,0
Jun-2013;100,1;99,7;105,1;118,4;109,8;109,0
Sep-2013;100,3;100,8;105,7;123,6;109,8;109,0
Dec-2013;101,9;99,7;106,3;123,7;109,2;109,0
Mar-2014;102,2;97,6;107,0;125,4;112,0;113,7
Jun-2014;102,6;99,1;107,6;124,5;115,2;113,7
Sep-2014;103,8;98,1;108,3;118,2;115,0;113,7
Dec-2014;103,9;98,2;108,8;118,2;114,0;113,7
